"0","1","2","3","4","5","6","7","8","9","10","11","12","$oid","review_id","user_id","business_id","stars","useful","funny","cool","text","date","$oid (right)"
1613,"UAtX7xmIfdd1W2Pebf6NWg","Sidebar Boston","14 Bromfield St","Boston","MA","02108",42.3564016,-71.0600964,3.5,240,1,"American (Traditional), Bars, Pubs, Nightlife, Dive Bars, Restaurants","61aca52666e2b451ab58ab68","KBBbY9WdKYO_zvXeRxjNKA","LfyHQWb_kFyxbdNFb8kQGA","UAtX7xmIfdd1W2Pebf6NWg",1,1,1,0,"I think SideBar is the only restaurant downtown where you can have a 2 hour lunch and only spend 15 minutes of that actually eating and enjoying it.  The rest is spent waiting.  Mainly for grilled cheese, which apparently takes 45 minutes to make.  Maybe they were furiously Googling the ingredients or something?  Who knows.  But for some reason it took an ungodly amount of time and was last to the table.

The service was also slow, mainly because as our waitress noted, they don't have trays so she couldn't carry drinks or food for 4 people, which resulted in multiple runs back to the kitchen and bar.  Which is understandable because it TOTALLY makes sense to not have serving trays in a restaurant.  I mean, how out of place would that be?  Trays?  In a restaurant?  I can't imagine.  That would be like having alcohol at a bar.  Too foreign a concept.

Anyway.  I get it isn't the best or classiest place downtown, so I cut it some slack, but an obscene wait for food and a borderline inept waitress are two things you don't want to deal with on a Thursday when you are a hung over and hungry group because you all maybe had one martini too many the previous night.",1357142378000,"61aca64ba536b27596ec2722"
1613,"UAtX7xmIfdd1W2Pebf6NWg","Sidebar Boston","14 Bromfield St","Boston","MA","02108",42.3564016,-71.0600964,3.5,240,1,"American (Traditional), Bars, Pubs, Nightlife, Dive Bars, Restaurants","61aca52666e2b451ab58ab68","rCoL7dI-Pc5YlhVKpq1Otw","dl6lCRdLWYZD9zqKaPBP6A","UAtX7xmIfdd1W2Pebf6NWg",4,0,0,0,"I really enjoyed the food here. I was looking for just a really great burger and wings and Sidebar had it. I really liked the location too!",1389931037000,"61aca64ba536b27596ec2944"
2338,"czsrWGmQRDwP0tBidbW-iQ","Emilio's","536 Tremont St","Boston","MA","02116",42.344302,-71.0705658,3,108,0,"Restaurants, Pizza, Sandwiches","61aca52666e2b451ab58abdb","vQLoR-9eZNikD12TEZZHYQ","Cws3tl-ZQ3_Ea4zKeV9zKA","czsrWGmQRDwP0tBidbW-iQ",5,0,0,0,"Great food. The pizza is phenomenal. Delivery is very fast. They are also inexpensive. Definitely will order from here a lot more!! So glad I saw the advertisement on their delivery van one day and decided to order from them.",1429075003000,"61aca64ba536b27596ec28ee"
3024,"LrE5Rqg4pBRwgDfk3toOAw","Numero Uno Restaurant","2499 S Orange Ave","Orlando","FL","32806",28.514151,-81.3760513,3.5,143,1,"Cuban, Restaurants","61aca52666e2b451ab58ac17","VgKoY2XRJgsQr04twUpoHw","DgPq7eZksc56m7AQ-0xrwA","LrE5Rqg4pBRwgDfk3toOAw",3,1,0,0,"For a restaurant that calls itself 'number one' in spanish and the best cuban restaurant north of Miami; I was dissapointed.  First, I have not known a cuban restaurant not to carry vaca frita. Second, mofongo is mainly puerto rican.  Thirdly a cuban restaurant would call their pork lechon, not pernil. Btw, their 'pernil' sandwich was salty and dry. The appetizers were good, which saved them from a 2 star rating in my book.  There are plenty other cuban selections in Orlando that offer a better and more authentic experience.",1365616068000,"61aca64ba536b27596ec2753"
3411,"mcCLckXtGlbvjZhdvnWqng","Boloco Northeastern","Marino Center Northeastern University, 359 Huntington Ave","Boston","MA","02115",42.3400556086,-71.0902323673,3.5,125,0,"Food, Mexican, Restaurants, Juice Bars & Smoothies, Fast Food","61aca52666e2b451ab58ac4f","uKkHx5sTEyXTpAyc8GIOIw","0m4MkNOQfgurKM_Cx8VHAg","mcCLckXtGlbvjZhdvnWqng",4,1,0,0,"Well, I eat here about 3 or 4 times a week, that must say it all! haha...I love the wrap, for it's food, for it's convenience, for the quick service. I love it all.  I'm a big fan of the buffalo chicken wrap, the bangkok, and the teriyaki. I also love getting the house salad in a wrap with feta cheese. So good. Yes, you can get any salad in a wrap for an easy on the go meal. 

I do find myself still calling it the wrap, as many do, but I don't think Boloco minds. I'm sure that will eventually fade out as us loyal ""wrappers"" graduate. (I was actually thinking today how much I was gonna miss having the wrap in my backyard).  

Don't forget to get the Boloco card. Many people don't know that they have a new card for the new company. You get a point for every dollar you spend and you get a free wrap once you accumulate 50 points (I think).  I use mine all the time and recently my roommate was like ""I didn't know they had that""...and she eats there all the time too. So make sure to ask for yours!",1145401691000,"61aca64ba536b27596ec27ff"
3404,"72lsAGEma0YI8t-OCdHxCQ","Uno Pizzeria & Grill","8250 International Dr","Orlando","FL","32819",28.4464749,-81.4716242,3.5,399,1,"Beer, Wine & Spirits, American (Traditional), Pizza, Food, American (New), Gluten-Free, Restaurants","61aca52666e2b451ab58ac62","3792s0WGxGAllOQliNriDg","NtTs545xdwM98bULhP7HAg","72lsAGEma0YI8t-OCdHxCQ",5,1,2,0,"So, here I am at this really great pizza place, and I order a burger. Me the pizzaholic. Go figure. But I needed a burger really badly. I ask the waiter if the burgers are any good, and he does not hesitate. ""absolutely"". Will you cook it medium rare? ""sure will"". Burger it is, then. The rest is history. That was one perfectly cooked, amazing burger. The only problem is that I love Uno's pizza. Deciding what to have next time I come here will not be easy.",1303439547000,"61aca64ba536b27596ec28f3"
3849,"zyr68M7lzjC8iAk-c_RQdg","Denny's Diner","3957 S Kirkman Rd","Orlando","FL","32811",28.5028356,-81.4579513,2,9,0,"Restaurants, American (New)","61aca52666e2b451ab58ac7e","WVpJiCYPXheRHm9tnckApA","SbRnWwJ1xPxeeSS7j9BJIQ","zyr68M7lzjC8iAk-c_RQdg",1,0,0,0,"The food was good but Worst service I ever had! 

When I say bad I mean bad!!!!

I had to get our menus, silverware,and remind them we ordered drinks.

We were there for like two hours. The waitress kept apologizing it's just a crazy night. There were only maybe three tables. We would watch the waitress just stand there.

It was so bad I almost wanted to ask her if she liked her job? 

She looks just miserable. she was very rude and very lazy! 

When I finally just ask somebody else for a side of ranch that person just looked at me like they didn't know English! 

I finally just said you know what never mind paid for everything and just left!

There's a big difference between being busy and being pure lazy!",1401074100000,"61aca64ba536b27596ec2875"
1515,"AG1ETqbneinRRJUeA8PfSA","Flemings Prime Steakhouse & Wine Bar","217 Stuart St","Boston","MA","02116",42.3506425,-71.0686026,4,679,0,"Wine Bars, Nightlife, Bars, Steakhouses, Restaurants, Seafood","61aca52666e2b451ab58ab5c","q4Ddtx2pwKLcJJtiHLlKhg","diwOkBIOQFdNqahBgpCAcw","AG1ETqbneinRRJUeA8PfSA",4,1,0,0,"It's restaurant week and that means one thing: picking an expensive place and eat, eat, eat for a great price. After some research and thought, decided to pick a steakhouse and came across Flemings. When I looked at their restaurant week menu, I saw two filet mignon entrees. That did it, and Flemings we went. 

The place was dimly lit inside but spacious and had a warm but cool (not temperature cool...but joe cool cool) atmosphere to it. Everything looked fancy but not too snotty. It was nice. Our waitress was great! She was so professional and polite, very soft spoken but gave out a positive attitude. She was great. However, the servers (they looked like staff that went to all the tables to deliver the entrees) must have been either really busy or confused because they had our entrees mixed up between the four of us on the table. We had to clarify a few times. I guess that was one of the reason I only gave four stars. 

The food itself was good. Our filet mignon was cooked just as we requested and flavorful. Not too salty, not too bland. It was a lot smaller than I thought but it was enough since we got plenty of side dishes. Wine selection was great and my glass went perfect with the entree. Overall, we got a great deal. Originally, the main entree I got was over $40 by itself...but thanks to restaurant week, I got myself that same entree as part of a 3-course meal for under $35. YES. 

I'll probably go back to this place...for a date so the dude can pay :)",1333075225000,"61aca64ba536b27596ec2870"
1582,"dYezyZvEPYK0HRmgPxc5Ng","Croma","269 Newbury St","Boston","MA","02228",42.349557,-71.083595,3.5,99,0,"Pizza, Restaurants, Italian","61aca52666e2b451ab58ab60","EPzJsgyxEcu38xEoX4aTKg","vb8jGNWrSWWMOt43F2rdMA","dYezyZvEPYK0HRmgPxc5Ng",3,0,0,0,"The staff is attentive and I always seem to find a seat for lunch or dinner. The chicken satay is decent but looks like Polynesian warfare and try staying away from the mushroom appetizer, reminiscent of a Wolfgang Puck's concoction diagnosed with multiple personality disorder. The white wine sangria is not bad, but the bartender is a little too trigger happy with the peach schnapps. 
Do try the much simpler grilled shrimp appetizer on a bed of arugula or one of their pizzas - I'm partial to the Parma....",1179604995000,"61aca64ba536b27596ec27c1"
1487,"I7atR1yTJMOgSoZLXLtCWA","Golden Dynasty","2116 Whisper Lakes Blvd","Orlando","FL","32837",28.396766,-81.405382,3,102,0,"Pakistani, Chinese, Event Planning & Services, Restaurants, Indian, Halal, Caterers","61aca52666e2b451ab58ab7e","Y1US70xcByF8hFy5Zpu7JA","lvA6VQlDFK0HGr7OjUXB0g","I7atR1yTJMOgSoZLXLtCWA",1,2,1,0,"Worst food ever ... It was my wife's birthday and we were in Orlando celebrating by going to bunch of theme parks ... She is so fond of indo Chinese cuisine , so I really wanted to eat out ... Pulled out yelp and saw this place advertised so .... It was the most disappointing experiance ..

That f'ing place does not even know what is indo Chinese , they even justified it is indo Chinese .... Pls avoid this place ....the server was an a'Hole who was suggesting all crap ...",1417312893000,"61aca64ba536b27596ec2713"
